year,age,event,category1,category2,Name,Career/Personal Life
1977,37,"Pele finished Pele's official playing career on 28 August 1977, by leading the New York Cosmos of the North American Soccer League (NASL) to the New York Cosmos of the North American Soccer League (NASL)'s second Soccer Bowl title with a 2–1 win over the Seattle Sounders at the Civic Stadium in Portland, Oregon.",Club career,New York Cosmos,Pele,Personal Life
1962,22,"When the 1962 World Cup started, Pele was considered the best player in the world.",International career,1962 World Cup,Pele,Personal Life
1969,29,"Pele was called to the national team in early 1969, Pele refused at first, but then accepted and played in six World Cup qualifying matches, scoring six goals.",International career,1970 World Cup,Pele,Personal Life
1970,30,"All of Brazil's's matches in The 1970 World Cup in Mexico (except the final) were played in Guadalajara, and in the first match against Czechoslovakia, Pele gave Brazil's a 2–1 lead, by controlling Gérson's 50-yard pass with Pele's chest and then scoring.",International career,1970 World Cup,Pele,Personal Life
1958,18,"Following Pele's emergence at the 1958 World Cup Pele was nicknamed O Rei (""The King"").",Legacy,,Pele,Personal Life
2014,74,"In January 2014, Pele was awarded the first ever FIFA Ballon d'Or Prix d'Honneur as an acknowledgment from the world governing body of the sport for Pele's contribution to world football.",Legacy,Accolades,Pele,Personal Life
2020,80,"In 2020, Pele was named in the Ballon d'Or Dream Team, a greatest all-time XI.According to the RSSSF",Legacy,Accolades,Pele,Personal Life
1981,41,"From 1981 to 1986, Pele was romantically linked with TV presenter Xuxa.",Personal life,Relationships and children,Pele,Personal Life
1964,24,"Pele finally relented after a court-ordered DNA test proved Sandra Machado, who was born from an affair Pelé had in 1964 with a housemaid, Anizia Machado, was Pele's daughter.",Personal life,Relationships and children,Pele,Career
1995,55,"In January 1995, Pele was appointed by Fernando Cardoso as minister of sports.",Personal life,Politics,Pele,Personal Life
2017,77,"In December 2017, Pele appeared in a wheelchair at the 2018 World Cup draw in Moscow where Pele was pictured with President Vladimir Putin and Argentine footballer Diego Maradona.",Personal life,Health,Pele,Career
2021,81,"Although his eldest daughter Kely stated Pele was ""doing well"", Pele was reportedly readmitted to intensive care a few days later, before finally being released on 30 September 2021 to begin chemotherapy.",Personal life,Health,Pele,Career
2022,82,"In November 2022, ESPN Brasil reported that Pele had been taken to hospital with ""general swelling"", along with cardiac issues and concerns that Pele's chemotherapy treatment was not having the expected effect; his eldest daughter Kely stated there was ""no emergency"".",Personal life,Health,Pele,Career
1994,54,"In 1994, Pele was appointed a UNESCO Goodwill Ambassador.",After football,,Pele,Personal Life
2001,61,"In 2001, Pele was accused of involvement in a corruption scandal that stole $700,000 from UNICEF.",After football,,Pele,Personal Life
1976,36,"Pele was trapped in a hotel together with Arthur Ashe and other tennis pros, who were participating in the interrupted 1976 Lagos WCT tournament.",After football,,Pele,Personal Life
2006,66,"Pele was asked to participate in the 2006 ESPN documentary film Once in a Lifetime: The Extraordinary Story of the New York Cosmos, but declined when the producers refused to pay Pele's requested $100,000 fee.Pele appeared at the 2006 World Economic Forum in Davos, and spoke on the subject titled, ""Can a Ball Change the World: The Role of Sports in Development"".",After football,,Pele,Personal Life
2010,70,"On 1 August 2010, Pele was introduced as the honorary president of a revived New York Cosmos, aiming to field a team in Major League Soccer.",After football,,Pele,Personal Life
1992,52,"In 1992, Pele was appointed a UN ambassador for ecology and the environment.",After football,,Pele,Personal Life
1995,55,Pele was also awarded Brazil's's gold medal for outstanding services to the sport in 1995.,After football,,Pele,Personal Life
2012,72,"In 2012, Pele was awarded an honorary degree from the University of Edinburgh for ""significant contribution to humanitarian and environmental causes, as well as Pele's sporting achievements"".",After football,,Pele,Personal Life
2016,76,"In March 2016, Pele filed a lawsuit against Samsung Electronics in the United States District Court for the Northern District of Illinois seeking US$30 million in damages claiming violations under the Lanham Act for false endorsement and a state law claim for violation of Pele's right of publicity.",After football,,Pele,Personal Life
2018,78,"In 2018, Pele founded Pele's charitable organisation, the Pelé Foundation, which endeavours to empower impoverished and disenfranchised children from around the world's.",After football,,Pele,Personal Life
2021,81,"In 2021, Pele was diagnosed with colon cancer.",Death and funeral,,Pele,Career
2021,81,"Pele underwent surgery 2021, and afterwards was treated with several rounds of chemotherapy.",Death and funeral,,Pele,Career
